id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,latitude,longitude
348,Australia,AUS,900,2008,1151,Logan,2,Queensland,Logan,NA,Logan,0,NA,storm,2008-0525,-27.70218208,153.0752766
349,Australia,AUS,900,2008,1068,Central Highlands,2,Queensland,Central Highlands,NA,Duaringa,0,NA,flood,2008-0581,-23.92824481,149.3412046
357,Australia,AUS,900,2010,1389,Whitsunday,2,Queensland,Whitsunday,NA,Whitsunday,0,NA,storm,2010-0120,-20.38824668,148.5645503
364,Australia,AUS,900,2012,1168,Mitchell,2,Victoria,Mitchell,NA,Mitchell,0,NA,flood,2012-0029,-35.21987602,149.1355005
365,Australia,AUS,900,2012,1169,Mitchell,2,Victoria,Mitchell,NA,Mitchell,0,NA,flood,2012-0037,-35.21987602,149.1355005
369,Australia,AUS,900,2015,1071,Dungog,2,New South Wales,Dungog,NA,Dungog,0,NA,storm,2015-0148,-32.34888305,151.6074315
350,Australia,AUS,900,2009,1333,South Australia,1,South Australia,NA,NA,lake eyre,0,NA,flood,2009-0615,-30.10814465,135.8314015
269,Australia,AUS,900,1971,1202,New South Wales,1,New South Wales,NA,NA,South Wales,0,NA,flood,1971-0015,-32.16565906,147.0085368
269,Australia,AUS,900,1971,1273,Queensland,1,Queensland,NA,NA,Queensland,0,NA,flood,1971-0015,-22.56759196,144.5460786
269,Australia,AUS,900,1971,1348,Victoria,1,Victoria,NA,NA,Victoria,0,NA,flood,1971-0015,-36.85009222,144.3042888
270,Australia,AUS,900,1971,1274,Queensland,1,Queensland,NA,NA,Townsville area,0,NA,storm,1971-0096,-22.56759196,144.5460786
271,Australia,AUS,900,1974,1250,Northern Territory,1,Northern Territory,NA,NA,Darwin,0,NA,storm,1974-0061,-19.41482735,133.3655472
272,Australia,AUS,900,1976,1275,Queensland,1,Queensland,NA,NA,TooWoomba,0,NA,storm,1976-0128,-22.56759196,144.5460786
273,Australia,AUS,900,1976,1349,Victoria,1,Victoria,NA,NA,Castlemaine,0,NA,storm,1976-0129,-36.85009222,144.3042888
274,Australia,AUS,900,1976,1203,New South Wales,1,New South Wales,NA,NA,Sydney,0,NA,storm,1976-0131,-32.16565906,147.0085368
275,Australia,AUS,900,1982,1350,Victoria,1,Victoria,NA,NA,Victoria,0,NA,storm,1982-0264,-36.85009222,144.3042888
276,Australia,AUS,900,1982,1276,Queensland,1,Queensland,NA,NA,Southern Queensland,0,NA,storm,1982-0266,-22.56759196,144.5460786
277,Australia,AUS,900,1984,1204,New South Wales,1,New South Wales,NA,NA,Sydney area,0,NA,flood,1984-0109,-32.16565906,147.0085368
278,Australia,AUS,900,1985,1277,Queensland,1,Queensland,NA,NA,Queensland,0,NA,storm,1985-0023,-22.56759196,144.5460786
