disaster_no,event_name,disaster_type,disaster_subtype,location,start_year,start_month,end_year,end_month,total_deaths,no_injured,no_affected,total_affected,total_damage_adj_usd_thousands,latitude,longitude
2010-0465-AUS,,Flood,Riverine flood,"Alpine, Ballarat, Banyule, Baw Baw, Darebin, East Gippsland, Greater Shepparton, Hepburn, Hume, Latrobe, Mansfield, Moonee Valley, Moreland, Nillumbik, South Gippsland, Strathbogie, Wangaratta, Wellington, Whittlesea districts (Victoria province)",2010,9,2010,9.0,,,10000.0,10000.0,,-38.07,143.32
2012-0037-AUS,,Flood,Riverine flood,"New South Wales province (Bellingen, Byron, Kyogle, Lismore, Richmond Valley, Clarence Valley, Coffs Harbour, Inverell, Nambucca, Kempsey, Tweed, Tenterfield, Greater Taree, Moree Plains, Narrabri (Wee Waa town), Gunnedah, Gwydir (Bingara, Gravesend, Yallaroi towns), Brewarrina (Goodooga town), Walgett (Collarenebri, Lightning Ridge, Cumborah towns), Bourke districts), Queensland province (Balonne (St. George, Dirranbandi, Roma towns), Paroo (Cunnamulla town), Maranoa (Mitchell town (Booringa area)), Murweh (Charleville town) districts),",2012,2,2012,3.0,2.0,,3000.0,3000.0,509009.0,,
2014-0062-AUS,,Wildfire,"Land fire (Brush, Bush, Pasture)","Mickleham, Craigieburn cities (Hume district, Victoria province), Whittlesea (S), Nillumbik (S) districts (Melbourne north outskirts, Victoria province), Wallan, Kilmore, Beveridge cities (Mitchell (S) district, Victoria province), Warrandyte city (Manningham (C) district, Victoria province), Wunghnu city (Moira (S) district, Victoria province), Glenaladale, Walpa cities (East Gippsland (S) district, Victoria province), Yarram city (Wellington district, Victoria province), Morwell city (Latrobe district, Victoria province), Gisborne (Macedon Ranges district, Victoria province)",2014,2,2014,2.0,,20.0,,122.0,135992.0,,
2014-0475-AUS,,Storm,Lightning/Thunderstorms,Brisbane district (Queensland province),2014,11,2014,11.0,,12.0,52527.0,52539.0,1359923.0,,
2015-0135-AUS,Cyclone 'Olwyn',Storm,Tropical cyclone,"Carnarvon, Ashburton, Upper Gascoyne, Geraldton-Greenough, Irwin districts (Western Australia province)",2015,3,2015,3.0,,,600.0,600.0,77424.0,,
2021-0103-AUS,,Flood,Flood (General),Northern Territory State,2021,2,2021,2.0,,,250.0,250.0,,,
2016-0515-AUS,Dengue,Epidemic,Viral disease,,2016,1,2016,1.0,,2016.0,,2016.0,,,
2017-0105-AUS,Debbie,Storm,Tropical cyclone,"Logan region; Queensland; Nouvelle-Galles du Sud, au sud du Queensland, Sydney; Bowen (Whitsunday), Mackay, Proserpine (Whitsunday), Airlie beach (Whitsunday Isl.)",2017,3,2017,4.0,12.0,,45000.0,45000.0,3546211.0,,
2018-0123-AUS,,Flood,Flood (General),"Ingham, Halifax, Innisfail (Northern Queensland)",2018,3,2018,3.0,,,600.0,600.0,14616.0,-17.015,145.218
2019-0084-AUS,,Wildfire,"Land fire (Brush, Bush, Pasture)",Gippsland region (South-east Victoria state),2019,3,2019,3.0,,,600.0,627.0,,,
2021-0125-AUS,Tropial cylone 'Niran',Storm,Tropical cyclone,Queensland and New South Wales,2021,2,2021,3.0,,,6000.0,6000.0,184158.0,,
2021-0173-AUS,Tropical cyclone 'Seroja-21',Storm,Tropical cyclone,Kalbarri and Northampton Town,2021,4,2021,4.0,1.0,,2625.0,2625.0,629701.0,,
2022-0396-AUS,,Flood,Flood (General),"New South Wales (south-east Australia), including Sydney City",2022,7,2022,7.0,1.0,,85000.0,85000.0,512636.0,,
2023-0038-AUS,,Flood,Flood (General),Kimberley region (Western Australia),2023,1,2023,1.0,,,363.0,477.0,,,
2023-0815-AUS,,Flood,Flood (General),"New South Wales, Victoria, South Australia and south-eastern Queensland States",2023,11,2023,11.0,,,390.0,390.0,,,
2023-0828-AUS,Cyclone 'Jasper',Storm,Tropical cyclone,"Cairns, Port Douglas, Daintree, Cooktown, Wujal Wujal and Hope Vale (Queensland)",2023,12,2023,12.0,,,300.0,300.0,,,
2025-0165-AUS,Tropical cyclone 'Alfred',Storm,Tropical cyclone,"Queensland state, New South Wales North Coast",2025,2,2025,3.0,1.0,13.0,,13.0,3500000.0,,
2000-0097-AUS,Steve,Storm,Tropical cyclone,"Cairns, Tablelands districts (Queensland province), New South Wales province",2000,2,2000,3.0,1.0,,200.0,200.0,168263.0,,
2001-0028-AUS,,Flood,Flood (General),"Granville, Wenworthville villages (Parramatta district, New South Wales province), Merrylands village (Holroyd district, New South Wales province), Dural village (Hornsby district, New South Wales province), North Richmond village (Hawkesbury district, New South Wales province)",2001,1,2001,1.0,1.0,30.0,300.0,330.0,21818.0,,
2001-0030-AUS,,Storm,Storm (General),Sydney district (New South Wales province),2001,1,2001,1.0,1.0,,,,12000.0,,
2001-0087-AUS,,Flood,Riverine flood,"Grafton, Maclean villages (Clarence Valley district, New South Wales province)",2001,2,2001,2.0,,,,,,,
2001-0130-AUS,,Flood,Riverine flood,"Maclean, Yamba villages (Clarence Valley district, New South Wales province), Lismore, Woodburn villages (Lismore district, New South Wales province), Mullumbimby village (Byron district, New South Wales province), Murwillumbah area (Tweed district, New South Wales province), Smithtown, Gladstone areas (Kempsey district, New South Wales province), Coffs Harbour, Ballina, Kyogle, New South Wales",2001,3,2001,3.0,3.0,1.0,3000.0,3001.0,363640.0,,
2001-0301-AUS,,Storm,Severe weather,Gold Coast district (Queensland province),2001,4,2001,4.0,,,180.0,180.0,,,
2001-0655-AUS,,Wildfire,"Land fire (Brush, Bush, Pasture)",New South Wales province,2001,10,2001,10.0,,,,,,,
